year,date,event
1665 CE,1665-01-01,"Portugal defeats the Kongo Empire at the Battle of Mbwila."
1666 CE,1666-01-01,The Great Fire of London.
1666 CE,1666-01-01,Shivaji visited Aurangzeb at Agra Fort and forced him into house arrest. Shivaji later escaped and returned to the Maratha kingdom.
1667 CE,1667-01-01,The Raid on the Medway during the Second Anglo-Dutch War.
1674 CE,1674-01-01,Shivaji founded the Maratha Empire and crowned himself as first Chatrapati of the empire.
1678 CE,1678-01-01,"The Treaty of Nijmegen ends various interconnected wars among France, the Dutch Republic, Spain, Brandenburg, Sweden, Denmark, the Prince-Bishopric of Münster, and the Holy Roman Empire."
1680 CE,1680-01-01,The Pueblo Revolt drives the Spanish out of New Mexico until 1692.
1680 CE,1680-01-01,Prince Sambhaji crowned himself as the second Chatrapati of Maratha Empire 20 July.
1682 CE,1682-01-01,French explorer Robert La Salle claims all the land east of the Mississippi River.
1683 CE,1683-01-01,China conquers the Kingdom of Tungning and annexes Taiwan.
1683 CE,1683-01-01,The Ottoman Empire is defeated in the second Siege of Vienna.
1687 CE,1687-01-01,Isaac Newton publishes Philosophiae Naturalis Principia Mathematica.
1688 CE,1688-01-01,"The Siege of Derry, the first major event in the Williamite War in Ireland."
1688 CE,1688-01-01,Siamese revolution of 1688 ousted French influence and virtually severed all ties with the West until the 19th century.
1689 CE,1689-01-01,The Battle of Killiecrankie is fought between Jacobite and Williamite forces in Highland Perthshire.
1689 CE,1689-01-01,"The Karposh rebellion is crushed in present-day North Macedonia, Skopje is retaken by the Ottoman Turks. Karposh is killed, and the rebels are defeated."
1689 CE,1689-01-01,Bill of Rights gains royal consent.
1689 CE,1689-01-01,John Locke publishes Two Treatises of Government and A Letter Concerning Toleration.
1690 CE,1690-01-01,The Battle of the Boyne in Ireland.
1692 CE,1692-01-01,"Port Royal in Jamaica is struck by an earthquake and a tsunami. Approximately 2,000 people die and 2,300 are injured."
1693 CE,1693-01-01,"The College of William and Mary is founded in Williamsburg, Virginia, by a royal charter."
1694 CE,1694-01-01,The Bank of England is established.
1695 CE,1695-01-01,The Mughal Empire nearly bans the East India Company in response to pirate Henry Every's capture of the trading ship Ganj-i-Sawai.
1699 CE,1699-01-01,Thomas Savery demonstrates his first steam engine to the Royal Society.
1701 CE,1701-01-01,Kingdom of Prussia declared under King Frederick I.
1701 CE,1701-01-01,The Battle of Feyiase marks the rise of the Ashanti Empire.
1703 CE,1703-01-01,Saint Petersburg is founded by Peter the Great; it is the Russian capital until 1918.
1704 CE,1704-01-01,End of Japan's Genroku period.
1704 CE,1704-01-01,First Javanese War of Succession.
1707 CE,1707-01-01,Death of Mughal Emperor Aurangzeb leads to the fragmentation of the Mughal Empire.
1707 CE,1707-01-01,"The Act of Union is passed, merging the Scottish and English Parliaments, thus establishing the Kingdom of Great Britain."
1708 CE,1708-01-01,The Company of Merchants of London Trading into the East Indies and English Company Trading to the East Indies merge to form the United Company of Merchants of England Trading to the East Indies.
1709 CE,1709-01-01,Foundation of the Hotak Afghan Empire.
1709 CE,1709-01-01,"The Great Frost of 1709 marks the coldest winter in 500 years, contributing to the defeat of Sweden at Poltava."
1710 CE,1710-01-01,"The world's first copyright legislation, Britain's Statute of Anne, takes effect."
1711 CE,1711-01-01,Bukhara Khanate dissolves as local begs seize power.
1713 CE,1713-01-01,The Kangxi Emperor acknowledges the full recovery of the Chinese economy since its apex during the Ming.
1714 CE,1714-01-01,"In Amsterdam, Daniel Gabriel Fahrenheit invents the mercury-in-glass thermometer, which remains the most reliable and accurate thermometer until the electronic era."
1715 CE,1715-01-01,The first Jacobite rising breaks out; the British halt the Jacobite advance at the Battle of Sheriffmuir; Battle of Preston.
1716 CE,1716-01-01,Establishment of the Sikh Confederacy along the present-day India-Pakistan border.
1718 CE,1718-01-01,The city of New Orleans is founded by the French in North America.
1719 CE,1719-01-01,Second Javanese War of Succession.
1720 CE,1720-01-01,The South Sea Bubble.
1720 CE,1720-01-01,Qing forces oust Dzungar invaders from Tibet.
1721 CE,1721-01-01,"The Treaty of Nystad is signed, ending the Great Northern War."
1721 CE,1721-01-01,"Sack of Shamakhi, massacre of its Shia population by Sunni Lezgins."
1722 CE,1722-01-01,Siege of Isfahan results in the handover of Iran to the Hotaki Afghans.
1723 CE,1723-01-01,Slavery is abolished in Russia; Peter the Great converts household slaves into house serfs.
1724 CE,1724-01-01,Daniel Gabriel Fahrenheit proposes the Fahrenheit temperature scale.
1725 CE,1725-01-01,Austro-Spanish alliance revived. Russia joins in 1726.
1730 CE,1730-01-01,"Mahmud I takes over Ottoman Empire after the Patrona Halil revolt, ending the Tulip period."
1739 CE,1739-01-01,Great Britain and Spain fight the War of Jenkins' Ear in the Caribbean.
1739 CE,1739-01-01,"Nader Shah defeats a pan-Indian army of 300,000 at the Battle of Karnal. Taxation is stopped in Iran for three years."
1740 CE,1740-01-01,"Great Awakening, George Whitefield."
1742 CE,1742-01-01,"Marvel's Mill, the first water-powered cotton mill, begins operation in England. Anders Celsius proposes an inverted form of the centigrade temperature, which is later renamed Celsius in his honor."
1742 CE,1742-01-01,Premiere of Handel's Messiah.
1744 CE,1744-01-01,The First Saudi State is founded by Mohammed Ibn Saud.
1744 CE,1744-01-01,Battle of Toulon is fought off the coast of France.
1745 CE,1745-01-01,Second Jacobite rising is begun by Charles Edward Stuart in Scotland.
1747 CE,1747-01-01,The Durrani Empire is founded by Ahmad Shah Durrani.
1748 CE,1748-01-01,The Treaty of Aix-La-Chapelle ends the War of the Austrian Succession and First Carnatic War.
1750 CE,1750-01-01,Peak of the Little Ice Age.
1752 CE,1752-01-01,"The British Empire adopts the Gregorian Calendar, skipping 11 days from September 3 to September 13. On the calendar, September 2 is followed directly by September 14."
1754 CE,1754-01-01,The Treaty of Pondicherry ends the Second Carnatic War and recognizes Muhammed Ali Khan Wallajah as Nawab of the Carnatic.
1754 CE,1754-01-01,King's College is founded by a royal charter of George II of Great Britain.
1755 CE,1755-01-01,"The great Lisbon earthquake destroys most of Portugal's capital and kills up to 100,000."
1755 CE,1755-01-01,"The Dzungar genocide depopulates much of northern Xinjiang, allowing for Han, Uyghur, Khalkha Mongol, and Manchu colonization."
1757 CE,1757-01-01,British conquest of Bengal.
1760 CE,1760-01-01,George III becomes King of Britain.
1761 CE,1761-01-01,Maratha Empire defeated at Battle of Panipat.
1763 CE,1763-01-01,The Treaty of Paris ends the Seven Years' War and Third Carnatic War.
1764 CE,1764-01-01,Dahomey and the Oyo Empire defeat the Ashanti army at the Battle of Atakpamé.
1764 CE,1764-01-01,The Mughals are defeated at the Battle of Buxar.
1765 CE,1765-01-01,The Stamp Act is introduced into the American colonies by the British Parliament.
1766 CE,1766-01-01,Christian VII becomes king of Denmark. He was king of Denmark to 1808.
1767 CE,1767-01-01,Taksin expels Burmese invaders and reunites Thailand under an authoritarian regime.
1769 CE,1769-01-01,Spanish missionaries establish the first of 21 missions in California.
1769 CE,1769-01-01,"The French East India Company dissolves, only to be revived in 1785."
1769 CE,1769-01-01,"French expeditions capture clove plants in Ambon, ending the VOC monopoly of the plant. (to 1772)."
1771 CE,1771-01-01,The Plague Riot in Moscow.
1771 CE,1771-01-01,The Kalmyk Khanate dissolves as the territory becomes colonized by Russians. More than a hundred thousand Kalmyks migrate back to Qing Dzungaria.
1772 CE,1772-01-01,"Gustav III of Sweden stages a coup d'état, becoming almost an absolute monarch."
1773 CE,1773-01-01,East India Company starts operations in Bengal to smuggle opium into China.
1775 CE,1775-01-01,Russia imposes a reduction in autonomy on the Zaporizhian Cossacks of Ukraine.
1776 CE,1776-01-01,Several Kongsi Republics are founded by Chinese settlers in the island of Borneo. They are some of the first democracies in Asia.
1776 CE,1776-01-01,Illuminati founded by Adam Weishaupt.
1776 CE,1776-01-01,The United States Declaration of Independence is adopted by the Continental Congress in Philadelphia.
1776 CE,1776-01-01,Adam Smith publishes The Wealth of Nations.
1778 CE,1778-01-01,James Cook becomes the first European to land on the Hawaiian Islands.
1778 CE,1778-01-01,Franco-American alliance signed.
1778 CE,1778-01-01,"Spain acquires its first permanent holding in Africa from the Portuguese, which is administrated by the newly-established La Plata Viceroyalty."
1778 CE,1778-01-01,"Vietnam is reunified for the first time in 200 years by the Tay Son brothers. The Tây Sơn dynasty has been established, terminated the Lê dynasty."
1779 CE,1779-01-01,Iran enters yet another period of conflict and civil war after the prosperous reign of Karim Khan Zand.
1780 CE,1780-01-01,Outbreak of the indigenous rebellion against Spanish colonization led by Túpac Amaru II in Peru.
1781 CE,1781-01-01,"The city of Los Angeles is founded by Spanish settlers."
1782 CE,1782-01-01,The Thonburi Kingdom of Thailand is dissolved after a palace coup.
1783 CE,1783-01-01,The Treaty of Paris formally ends the American Revolutionary War.
1783 CE,1783-01-01,Russian annexation of Crimea.
1787 CE,1787-01-01,The Tuareg occupies Timbuktu until the 19th century.
1788 CE,1788-01-01,First Fleet arrives in Australia.
1789 CE,1789-01-01,George Washington is elected the first President of the United States; he serves until 1797.
1789 CE,1789-01-01,Quang Trung defeated the Qing army.
1789 CE,1789-01-01,The Liège Revolution.
1789 CE,1789-01-01,The Brabant Revolution.
1789 CE,1789-01-01,"The Inconfidência Mineira, an unsuccessful separatist movement in central Brazil led by Tiradentes."
1791 CE,1791-01-01,Suppression of the Liège Revolution by Austrian forces and re-establishment of the Prince-Bishopric of Liège.
1791 CE,1791-01-01,Mozart premieres The Magic Flute.
1792 CE,1792-01-01,The New York Stock & Exchange Board is founded.
1792 CE,1792-01-01,Polish–Russian War of 1792.
1793 CE,1793-01-01,Upper Canada bans slavery.
1793 CE,1793-01-01,"The largest yellow fever epidemic in American history kills as many as 5,000 people in Philadelphia, roughly 10% of the population."
1795 CE,1795-01-01,"The Marseillaise is officially adopted as the French national anthem."
1795 CE,1795-01-01,The Battle of Nuʻuanu in the final days of King Kamehameha I's wars to unify the Hawaiian Islands.
1796 CE,1796-01-01,"Edward Jenner administers the first smallpox vaccination; smallpox killed an estimated 400,000 Europeans each year during the 18th century, including five reigning monarchs."
1796 CE,1796-01-01,War of the First Coalition: The Battle of Montenotte marks Napoleon Bonaparte's first victory as an army commander.
1796 CE,1796-01-01,The British eject the Dutch from Ceylon and South Africa.
1798 CE,1798-01-01,The Irish Rebellion fails to overthrow British rule in Ireland.
1799 CE,1799-01-01,Dutch East India Company is dissolved.
1799 CE,1799-01-01,Austro-Russian forces under Alexander Suvorov liberates much of Italy and Switzerland from French occupation.
1799 CE,1799-01-01,Coup of 18 Brumaire - Napoleon's coup d'etat brings the end of the French Revolution.
1799 CE,1799-01-01,"Death of the Qianlong Emperor after 60 years of rule over China. His favorite official, Heshen, is ordered to commit suicide."
1800 CE,1800-01-01,"On 1 January, the bankrupt Dutch East India Company (VOC) is formally dissolved and the nationalised Dutch East Indies are established."
1801 CE,1801-01-01,The Kingdom of Great Britain and the Kingdom of Ireland merge to form the United Kingdom.
1802 CE,1802-01-01,The Wahhabis of the First Saudi State sack Karbala.
1803 CE,1803-01-01,"William Symington demonstrates his Charlotte Dundas, the 'first practical steamboat'."
1803 CE,1803-01-01,The Wahhabis of the First Saudi State capture Mecca and Medina.
1804 CE,1804-01-01,Austrian Empire founded by Francis I.
1804 CE,1804-01-01,World population reaches 1 billion.
1805 CE,1805-01-01,"The Battle of Trafalgar eliminates the French and Spanish naval fleets and allows for British dominance of the seas, a major factor for the success of the British Empire later in the century."
1810 CE,1810-01-01,"The University of Berlin was founded. Among its students and faculty are Hegel, Marx, and Bismarck. The German university reform proves to be so successful that its model is copied around the world (see History of European research universities)."
1814 CE,1814-01-01,Elisha Collier invents the Flintlock Revolver.
1814 CE,1814-01-01,February 1 Eruption of Mayon Volcano.
1815 CE,1815-01-01,"April, Mount Tambora in Sumbawa island erupts, becoming the largest volcanic eruption in recorded history, destroying Tambora culture, and killing at least 71,000 people, including its aftermath. The eruption created global climate anomalies known as 'volcanic winter'."
1816 CE,1816-01-01,"Year Without a Summer: Unusually cold conditions wreak havoc throughout the Northern Hemisphere, likely influenced by the 1815 explosion of Mount Tambora."
1819 CE,1819-01-01,The Republic of Colombia (Gran Colombia) achieves independence after Simón Bolívar's triumph at the Battle of Boyacá.
